optype,opset,inputs,outputs,attr1,attr1,attr1,attr2,attr2,attr2,attr3,attr3,attr3,attr4,attr4,attr4,attr5,attr5,attr5,attr6,attr6,attr6,attr7,attr7,attr7,attr8,attr8,attr8,attr9,attr9,attr9,attr10,attr10,attr10
op_type,opset,inputs,outputs,name,value_type,default,name,value_type,default,name,value_type,default,name,value_type,default,name,value_type,default,name,value_type,default,name,value_type,default,name,value_type,default,name,value_type,default,name,value_type,default
HardSigmoid,6,1,1,alpha,float32,0.2,beta,float32,0.5,,,,,,,,,,,,,,,,,,,,,,,,
HardSigmoid,1,1,1,alpha,float32,0.2,beta,float32,0.5,consumed_inputs,int64[],,,,,,,,,,,,,,,,,,,,,,
Hardmax,13,1,1,axis,int64,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hardmax,11,1,1,axis,int64,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hardmax,1,1,1,axis,int64,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Identity,16,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Identity,14,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Identity,13,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Identity,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
If,16,1,inf,else_branch,graph,,then_branch,graph,,,,,,,,,,,,,,,,,,,,,,,,,
If,13,1,inf,else_branch,graph,,then_branch,graph,,,,,,,,,,,,,,,,,,,,,,,,,
If,11,1,inf,else_branch,graph,,then_branch,graph,,,,,,,,,,,,,,,,,,,,,,,,,
If,1,1,inf,else_branch,graph,,then_branch,graph,,,,,,,,,,,,,,,,,,,,,,,,,
InstanceNormalization,6,3,1,epsilon,float32,1.00E-05,,,,,,,,,,,,,,,,,,,,,,,,,,,
InstanceNormalization,1,3,1,consumed_inputs,int64[],,epsilon,float32,1.00E-05,,,,,,,,,,,,,,,,,,,,,,,,
IsInf,10,1,1,detect_negative,int64,1,detect_positive,int64,1,,,,,,,,,,,,,,,,,,,,,,,,
IsNaN,13,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IsNaN,9,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LRN,13,1,1,alpha,float32,0.0001,beta,float32,0.75,bias,float32,1,size,int64,,,,,,,,,,,,,,,,,,,
LRN,1,1,1,alpha,float32,0.0001,beta,float32,0.75,bias,float32,1,size,int64,,,,,,,,,,,,,,,,,,,
